"ID";"CulturalCenterName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"Код";"Наименование культурного центра";"Административный округ";"Район";"Адрес";"Количество точек доступа";"Имя Wi-Fi сети";"Зона покрытия, в метрах";"Признак функционирования";"Условия доступа";"Пароль";"Широта в WGS-84";"Долгота в WGS-84";"global_id";"geodata_center";"geoarea";
"23";"ГБУК города Москвы «ОКЦ ЮАО» Дом культуры «Нагатино»";"Южный административный округ";"район Нагатинский Затон";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Судостроительная улица, дом 28, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.682311";"37.685296";"879812733";"";"";
"25";"ГБУК города Москвы «ОКЦ ЮВАО» Территориальная клубная система «Спутник»";"Юго-Восточный административный округ";"Рязанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Яснополянская улица, дом 3, корпус 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.722036";"37.787498";"879812737";"";"";
"26";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Озёрная улица, дом 23, корпус 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.676402";"37.454501";"879812738";"";"";
"27";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Оптимист»";"Западный административный округ";"район Тропарёво-Никулино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 89, корпус 4";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.664984";"37.500127";"879812739";"";"";
"28";"ГБУК города Москвы «ОКЦ ЮАО» Культурный центр «Москворечье»";"Южный административный округ";"район Москворечье-Сабурово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 52";"54";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.645964";"37.668022";"879812741";"";"";
"29";"ГБУК города Москвы «ОКЦ ТиНАО» Дом культуры «Пересвет»";"Новомосковский административный округ";"поселение Рязановское";"Российская Федерация, город Москва, внутригородская территория поселение Рязановское, посёлок Знамя Октября, дом 3, корпус 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.473643";"37.538260";"879812742";"";"";
"31";"ГБУК города Москвы «ОКЦ ЮВАО» Культурный центр имени Астахова";"Юго-Восточный административный округ";"район Люблино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Люблинская улица, дом 149";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.663212";"37.742762";"879812744";"";"";
"32";"ГБУК города Москвы «ОКЦ ЮВАО» Культурный центр имени Астахова";"Юго-Восточный административный округ";"район Марьино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Новочеркасский бульвар, дом 29";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.649185";"37.73646";"879812745";"";"";
"33";"ГБУК города Москвы «ОКЦ СЗАО» Дом культуры «Берендей»";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, улица Народного Ополчения, дом 12, корпус 3";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.772289";"37.478432";"879812746";"";"";
"34";"ГБУК города Москвы «Дом культуры «Культурный центр»";"Северо-Восточный административный округ";"Останкинский район";"город Москва, улица Академика Королёва, дом 8, корпус 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.822599";"37.624256";"879812749";"";"";
"35";"ГБУК города Москвы «ОКЦ СЗАО» Клуб «Атом»";"Северо-Западный административный округ";"район Щукино";"город Москва, улица Маршала Бирюзова, дом 12";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.793303";"37.494512";"879812750";"";"";
"40";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Бригантина»";"Западный административный округ";"район Филёвский Парк";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Кастанаевская улица, дом 9, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738029";"37.494359";"879812755";"";"";
"41";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Ново Переделкино»";"Западный административный округ";"район Ново-Переделкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Боровское шоссе, дом 35, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.640609";"37.360969";"879812757";"";"";
"42";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Ново Переделкино»";"Западный административный округ";"район Ново-Переделкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Лукинская улица, дом 1, корпус 1";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.646447";"37.343901";"879812760";"";"";
"50";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Озёрная улица, дом 11";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.681123";"37.459864";"879812761";"";"";
"51";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Озёрная улица, дом 4/9";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.683036";"37.460574";"879812764";"";"";
"52";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Очаковское шоссе, дом 21, корпус 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.690583";"37.451815";"879812767";"";"";
"46";"ГБУК города Москвы «ОКЦ ЮАО» Территориальная клубная система «Орехово»";"Южный административный округ";"район Орехово-Борисово Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Домодедовская улица, дом 22, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.611668";"37.706910";"879812770";"";"";
"47";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Веерная улица, дом 3, корпус 6";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.705762";"37.476986";"879812772";"";"";
"55";"ГБУК города Москвы «ОКЦ СВАО» Территориальная клубная система «Товарищ»";"Северо-Восточный административный округ";"район Бибирево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Лескова, дом 30, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.891683";"37.617411";"879812773";"";"";
"56";"ГБУК города Москвы «ОКЦ СВАО» Территориальная клубная система «Товарищ»";"Северо-Восточный административный округ";"район Ростокино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ростокино, проспект Мира, дом 163, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.836388";"37.653334";"879812774";"";"";
"57";"ГБУК города Москвы «ОКЦ СВАО» Территориальная клубная система «Товарищ»";"Северо-Восточный административный округ";"Ярославский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ярославский, Ярославское шоссе, дом 18";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.855042";"37.685467";"879812775";"";"";
